simulation,direct_pct,indirect_pct,total_direct_hrs,total_indirect_hrs
113,80.30112361868085,19.698876381319153,225485.5551212558,55314.44487874419
114,79.97437223716663,20.025627762833366,224568.0372419639,56231.9627580361
115,78.6690770687267,21.330922931273307,220902.7684089846,59897.2315910154
116,78.657878938321,21.342121061678995,220871.32405880536,59928.67594119465
117,81.06884802037972,18.93115197962028,227641.32524122627,53158.67475877375
118,78.02260255019787,21.977397449802126,219087.46796095563,61712.53203904434
119,78.98756095092487,21.012439049075127,221797.07115019704,59002.92884980295
120,79.20235478180537,20.79764521819463,222400.21222730947,58399.787772690506
121,80.85807291823734,19.14192708176266,227049.46875441042,53750.53124558958
122,79.4053423714078,20.594657628592202,222970.2013789131,57829.7986210869
123,79.8708940955973,20.129105904402707,224277.47062043718,56522.529379562795
124,79.15615969109624,20.843840308903765,222270.4964125982,58529.503587401785
125,80.36961109102322,19.630388908976784,225677.86794359318,55122.13205640684
126,79.35239649405948,20.647603505940523,222821.529355319,57978.47064468096
127,78.81666437744063,21.18333562255937,221317.19357185328,59482.80642814671
128,80.39769234196588,19.60230765803412,225756.72009624017,55043.27990375983
129,80.52933449851166,19.47066550148834,226126.37127182074,54673.62872817928
130,79.77916253840161,20.220837461598393,224019.88840783172,56780.11159216828
131,79.43622330092533,20.563776699074666,223056.91502899834,57743.084971001685
132,79.84903306870441,20.150966931295585,224216.08485692198,56583.915143078004
133,79.47098833790922,20.52901166209078,223154.5352528491,57645.46474715089
134,80.05797534034814,19.942024659651864,224802.79475569757,55997.205244302415
135,79.34321784688049,20.656782153119508,222795.75571404042,58004.244285959576
136,78.25113943181344,21.748860568186558,219729.19952453216,61070.80047546784
137,79.50453021798275,20.495469782017253,223248.72085209558,57551.27914790441
138,79.88529498178895,20.114705018211055,224317.90830886335,56482.09169113663
139,79.93549797653434,20.064502023465664,224458.87831810844,56341.12168189156
140,79.47064009742297,20.529359902577028,223153.5573935637,57646.44260643629
141,79.42989122344729,20.570108776552715,223039.13455544,57760.86544455998
142,78.79178615227363,21.20821384772637,221247.33551558433,59552.66448441568
143,79.11706726165716,20.882932738342845,222160.72487073328,58639.27512926671
144,79.30078789956096,20.69921210043904,222676.61242196715,58123.38757803286
145,78.69707730290975,21.302922697090253,220981.39306657057,59818.60693342944
146,81.95583892057908,18.044161079420917,230131.99568898606,50668.00431101394
147,79.6620950571647,20.337904942835294,223691.1629205185,57108.83707948151
148,81.05362180411565,18.94637819588435,227598.57002595675,53201.42997404327
149,79.61098640340984,20.38901359659016,223547.64982077485,57252.350179225155
150,79.35587392524019,20.64412607475981,222831.29398207445,57968.70601792555
151,81.18993243084265,18.810067569157354,227981.33026580614,52818.66973419386
152,80.61193489420579,19.38806510579421,226358.31318292988,54441.68681707012
153,81.24374939942875,18.75625060057125,228132.44831359593,52667.55168640404
154,79.46573847173237,20.534261528267635,223139.79362862447,57660.20637137552
155,79.80959500591011,20.19040499408989,224105.34277659561,56694.65722340441
156,81.53683197573888,18.463168024261122,228955.42418787477,51844.575812125244
157,78.91368813121325,21.08631186878675,221589.63627244678,59210.363727553224
158,78.40351059669291,21.59648940330709,220157.05775551367,60642.94224448634
159,80.3156046582729,19.684395341727097,225526.21788043034,55273.782119569645
160,78.09593027272996,21.90406972727004,219293.3722058257,61506.62779417431
161,77.75185831157714,22.248141688422862,218327.21813890862,62472.78186109136
162,78.20360997314958,21.796390026850418,219595.736804604,61204.26319539601
163,78.33467760539054,21.66532239460946,219963.77471593663,60836.225284063345
164,79.03250668207319,20.96749331792681,221923.2787632615,58876.72123673849
165,79.56947742371352,20.430522576286478,223431.09260578756,57368.90739421244
166,79.80879662412626,20.19120337587374,224103.10092054657,56696.89907945342
167,80.17470726987041,19.82529273012959,225130.57801379613,55669.42198620386
168,78.73112229586393,21.268877704136074,221076.9914067859,59723.00859321408
169,78.77845879547729,21.22154120452271,221209.91229770024,59590.08770229976
170,78.62871630673241,21.371283693267586,220789.43538930462,60010.56461069538
171,78.42577670248548,21.57422329751452,220219.5809805792,60580.419019420784
172,78.4291501494542,21.570849850545798,220229.05361966742,60570.94638033257
173,78.23121801571784,21.768781984282157,219673.2601881357,61126.7398118643
174,78.80348376877753,21.196516231222475,221280.1824227273,59519.8175772727
175,79.65390240325858,20.346097596741416,223668.1579483501,57131.8420516499
176,78.01653490353318,21.983465096466816,219070.4300091212,61729.56999087882
177,78.9698964226615,21.030103577338494,221747.46915483352,59052.53084516647
178,79.50294105247558,20.497058947524422,223244.2584753514,57555.7415246486
179,79.90142107671446,20.098578923285544,224363.19038341418,56436.80961658583
180,80.57304606237203,19.42695393762797,226249.11334314063,54550.88665685938
181,78.98879443290421,21.011205567095786,221800.53476759506,58999.46523240497
182,79.67627401805221,20.32372598194779,223730.97744269064,57069.02255730936
183,80.27659405256503,19.72340594743497,225416.6760996026,55383.3239003974
184,80.12448407304615,19.875515926953852,224989.55127711358,55810.44872288642
185,79.32588147188605,20.67411852811395,222747.07517305602,58052.92482694397
186,79.91766703967014,20.082332960329865,224408.80904739373,56391.19095260625
187,78.86654306373389,21.133456936266114,221457.25292296475,59342.747077035274
188,77.32844491859365,22.671555081406353,217138.27333141095,63661.726668589035
189,78.47926156995796,21.520738430042044,220369.76648844194,60430.23351155805
190,78.8858537006487,21.114146299351304,221511.47719142152,59288.522808578455
191,79.08417064174668,20.91582935825332,222068.3511620247,58731.648837975314
192,79.67139098207475,20.328609017925245,223717.2658776659,57082.73412233411
